Symbol Name,Character,UEB,UEB MathML example,BAUK,BAUK MathML example,Marburg,Marburg Mathml example,Unified Spanish ,Unified Spanish mathml example,Woluwe,Woluwe mathml example,Antoine,Antoine mathml example,Italian,Italian mathml example,Swedish,Sweden mathml example,Finnish,Mathml  example,Russian,Mathml example,Unified Arabic,Unified Arabic ASCII
,,,,⠳⠿,,,,,,⠴,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi><mo>∗</mo><mi>y</mi></math>",,,,,,,,,,,,
at,@,⠈⠁,,,,,,,,,,,,,,⠘⠷,,,,,,,
"back slash (divides, is a factor of, set difference)",,⠸⠡,,⠳⠡,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">∖</mo><mi mathvariant=""italic"">B</mi></math>",⠡⠄,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">∖</mo><mi mathvariant=""italic"">B</mi></math>",⠐⠄,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">∖</mo><mi mathvariant=""italic"">B</mi></math>",⠐⠡,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">∖</mo><mi mathvariant=""italic"">B</mi></math>",,,,,⠘⠌,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">∖</mo><mi mathvariant=""italic"">B</mi></math>",⠳⠡,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">∖</mo><mi mathvariant=""italic"">B</mi></math>",⠰⠤,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">∖</mo><mi mathvariant=""italic"">B</mi></math>",,
bar over and equals sign under logical product,,,,,,,,,,,,,,,,,,,,,,,
bar over and under logical product,,,,,,,,,,,,,,,,,,,,,,,
bar over and under logical sum (exclusive nor),,,,,,,,,,,,,,,,,,,,,,,
bar over double tilde,,,,,,,,⠰⠳⠂,,,,,,,,,,,,,,,
bar over greater than sign,,,,,,,,⠕⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">⋝</mo><mi mathvariant=""italic"">y</mi></math>",,,,,,,,,,,,,,
bar over inclusion sign,,,,,,,,⠣⠆,,,,,,,,,,,,,,,
bar over less than sign,,,,,,,,⠪⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi><mo mathvariant=""normal"">⋜</mo><mi>y</mi></math>",,,,,,,,,,,,,,
bar over logical product,,,,⠘⠶,,⠒⠬,,,,,,,,⠘⠸⠢,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>p</mi><mo>&#x22BC;</mo><mi>q</mi></math>",⠘⠦⠝⠁⠝⠙⠘⠴,,,,,,,
bar over logical sum (NOR),,,,,,,,,,,,,,⠘⠸⠔,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">p</mi><mo mathvariant=""normal"">⊽</mo><mi mathvariant=""italic"">q</mi></math>",⠘⠦⠝⠕⠗⠘⠴,,,,,,,
bar over reverse inclusion sign,,,,,,,,⠰⠜,,,,,,,,,,,,,,,
bar over single tilde,,,,,,,,⠰⠢⠄,,,,,,,,,,,,,,,
bar through inclusion sign,,,,,,,,,,,,,,,,,,,,,,,
bar through reverse inclusion sign,,,,,,,,,,,,,,,,,,,,,,,
bar under double tilde (almost equal to),,,,,,,,⠐⠳⠆,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&cong;</mo><mi mathvariant=""italic"">y</mi></math>",,,⠸⠐⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mi mathvariant=""normal""> </mi><mo mathvariant=""normal"">≊</mo><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">y</mi></math>",,,,,,,,,,
bar under greater than sign (is greater than or equal to),,⠸⠈⠜,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&geq;</mo><mi mathvariant=""italic"">y</mi></math>",⠕⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">≥</mo><mi mathvariant=""italic"">y</mi></math>",⠕⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&geq;</mo><mi mathvariant=""italic"">y</mi></math>",⠕⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">≥</mo><mi mathvariant=""italic"">y</mi></math>",⠈⠕⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">≥</mo><mi mathvariant=""italic"">y</mi></math>",⠘⠜,,⠜⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">≥</mo><mi mathvariant=""italic"">y</mi></math>",⠼⠕⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>a</mi><mo>&#x2265;</mo><mi>b</mi></math>",⠱⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">≥</mo><mi mathvariant=""italic"">y</mi></math>",⠕⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">≥</mo><mi mathvariant=""italic"">y</mi></math>",⠸⠘⠔,_^9
