Symbol Name,Character,UEB,UEB MathML example,BAUK,BAUK MathML example,Marburg,Marburg Mathml example,Unified Spanish ,Unified Spanish mathml example,Woluwe,Woluwe mathml example,Antoine,Antoine mathml example,Italian,Italian mathml example,Swedish,Sweden mathml example,Finnish,Mathml  example,Russian,Mathml example,Unified Arabic,Unified Arabic ASCII
,,,,,,⠹⠐⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mi mathvariant=""normal""> </mi><mo mathvariant=""normal"">⇐</mo><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">y</mi></math>",,,,,,,,,,,,,,,,
leftwards double arrow with stroke,,,,,,,,,,,,⠨⠐⠒,,,,,,⠐⠣⠤⠤,"math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mi mathvariant=""normal""> </mi><mo mathvariant=""normal"">⇍</mo><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">y</mi></math>",,,⠳⠈⠻⠪⠪⠒⠒,|@}{{33
leftwards harpoon over rightwards harpoon,,,,,,,,,,,,,,,,⠘⠦⠧⠓⠓⠁⠗⠏⠥⠝⠘⠴,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mi mathvariant=""normal""> </mi><mo mathvariant=""normal"">⇋</mo><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">y</mi></math>",,,,,⠻⠈⠪⠒⠒⠻⠒⠒⠈⠕,}@{33}33@o
leftwards harpoon with barb downwards,,,,,,,,,,,,,,,,,,,,,,⠻⠠⠪⠒⠒,"},{33"
leftwards harpoon with barb upwards,,,,⠊⠒,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">A</mi><mo mathvariant=""normal"">↼</mo><mi mathvariant=""normal"">B</mi></math>",,,,,,,,,,,⠘⠦⠧⠓⠁⠗⠏⠥⠝⠘⠴,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo>↼</mo><mi mathvariant=""italic"">y</mi></mat

h>",,,,,⠻⠈⠪⠒⠒,}@{33
leftwards open-headed arrow,,,,,,,,,,,,,,,,,,,,,,⠻⠳⠒⠒,}|33
leftwards paired arrows,,,,,,,,,,,,,,,,,,,,,,⠻⠚⠒⠒⠻⠚⠒⠒,}j33}j33
leftwards squiggle arrow,,,,,,,,,,,,,,,,,,,,,,⠻⠪⠢⠤⠔⠒⠢,}{5-935
leftwards triple arrow,,,,,,,,,,,,,,,,,,,,,,⠻⠪⠪⠪⠒⠒,}{{{33
leftwards two headed arrow,,⠰⠳⠒⠒⠗⠗⠪,,⠪⠪⠒,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo mathvariant=""italic"">A</mo><mi mathvariant=""italic"">↞</mi><mo mathvariant=""italic"">B</mo></math>",,,,,,,,,,,,,,,,,⠻⠪⠪⠒⠒,}{{33
leftwards wave arrow,,,,,,,,,,,,,,,,,,,,,,⠻⠪⠔⠒⠢,}{935
leftwards white arrow,,,,,,,,,,,,,,,,,,,,,,⠻⠸⠪⠒⠒,}_{33
less than sign,<,⠈⠣,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&lt;</mo><mi mathvariant=""italic"">y</mi></math>",⠪,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">x</mi><mo mathvariant=""normal"">&lt;</mo><mi mathvariant=""normal"">y</mi></math>",⠪⠄,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&lt;</mo><mi mathvariant=""italic"">y</mi></math>",⠪,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&lt;</mo><mi mathvariant=""italic"">y</mi></math>",⠐⠪,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&lt;</mo><mi mathvariant=""italic"">y</mi></math>",⠐⠣,x<y,⠣,x<y,⠼⠪,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>0</mn><mo>&lt;</mo><mi>b</mi><mo>&#x2264;</mo><mn>5</mn></math>",⠣,x<y,⠪,x<y,⠘⠢,^5
less than sign followed by equals sign followed by greater than sign,,,,,,,,,,,,,,,,,,,,,,,
less than sign followed by greater than sign,,,,,,,,,,,,,,,,,,,,,,,
less than sign with curved sides,,,,,,,,⠐⠪,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">≺</mo><mi mathvariant=""italic"">y</mi></math>",,,⠨⠨⠣,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">≺</mo><mi mathvariant=""italic"">y</mi></math>",,,,,,,,,,
less than sign with curved sides over curved bar (precedes or is equal to),,,,,,,,,,,,⠘⠘⠣,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>x</mn><mo>≼</mo><mn>y</mn></math>",,,,,,,,,,
less-than or equivalent to,,,,⠪⠸⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">≲</mo><mi mathvariant=""italic"">y</mi></math>",,,,,,,,,,,,,,,,,⠸⠘⠢,_^5
less-than or greater-than,,,,,,⠪⠄⠕⠂,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">≶</mo><mi mathvariant=""italic"">y</mi></math>",,,,,,,⠩,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">≶</mo><mi mathvariant=""italic"">y</mi></math>",⠼⠪⠕,,,,,,,
less-than over equals sign over greater-than,,,,,,⠪⠶⠕⠂,,,,,,,,,,,,,,,,,
limit,,⠇⠊⠍,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><munder><mi class=""unknown_entity"" mathvariant=""normal"">lim</mi><mrow><mi mathvariant=""normal"">x</mi><mo mathvariant=""normal"">&rarr;</mo><mn mathvariant=""normal"">1</mn></mrow></munder><mi mathvariant=""normal"">f</mi><mi mathvariant=""normal"">x</mi></math>",⠫⠇⠊⠍,,⠼⠇,,⠇⠊⠍⠄,,⠇⠊⠍,,⠇⠊⠍,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><munder><mi>lim</mi><mrow><mi>x</mi><mo>&#x2192;</mo><mo>+</mo><mo>&#x221E;</mo></mrow></munder><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>=</mo><mn>0</mn></math>",⠇⠊⠍⠄,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><munder><mrow><mi>lim</mi><mo>&#xA0;</mo></mrow><mrow><mi>x</mi><mo>&#xA0;</mo><mo>&#x2192;</mo><msup><mn>0</mn><mo>-</mo></msup></mrow></munder><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo></math>",⠇⠊⠍,,⠇⠊⠍,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><munder><mi class=""unknown_entity"" mathvariant=""normal"">lim</mi><mrow><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&rarr;</mo><msub><mn mathvariant=""normal"">0</mn><mrow><mi mathvariant=""normal"">+</mi></mrow></msub></mrow></munder><mi mathvariant=""italic"">f</mi><mi mathvariant=""normal"">(</mi><mi mathvariant=""italic"">x</mi><mi mathvariant=""normal"">)</mi></math>",⠫⠇⠍,,,
literary comma,,,,,,,,,,,,,,,,,,,,⠂,,,
logarithm,,⠇⠕⠛,,⠫⠇,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">log</mi><mi mathvariant=""normal"">x</mi></math>",⠫⠇,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">log</mi><mi mathvariant=""italic"">x</mi></math>",⠇⠕⠛⠄,,⠇⠕⠛,,⠇⠕⠛,,⠇⠕⠛⠄,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mi>log</mi><mn>2</mn></msub><mn>8</mn><mo>=</mo><mn>3</mn></math>",⠇⠕⠛,,⠇⠕⠛,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mi class=""unknown_entity"" mathvariant=""normal"">log</mi><mrow><mi mathvariant=""italic"">e</mi></mrow></msub><mi mathvariant=""italic"">x</mi><mi mathvariant=""normal"">=</mi><mi class=""unknown_entity"" mathvariant=""normal"">ln</mi><mi mathvariant=""italic"">x</mi></math>",⠫⠇,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mi>log</mi><mi>x</mi></msub><mi>y</mi></math>",⠇⠺,lw
"logical product (and, meet)",,⠈⠦,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">x</mi><mo mathvariant=""normal"">&and;</mo><mi mathvariant=""normal"">y</mi></math>",⠘⠦,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">x</mi><mo mathvariant=""normal"">&and;</mo><mi mathvariant=""normal"">y</mi></math>",⠬⠂,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">∧</mo><mi mathvariant=""italic"">y</mi></math>",⠰⠂,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>A</mi><mo>&#x2227;</mo><mi>B</mi></math>",⠐⠬,,⠘⠔,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">∧</mo><mi mathvariant=""italic"">B</mi></math>",⠸⠢,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi><mo>&#x2227;</mo><mi>y</mi></math>",⠻⠕,,⠳⠩,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">p</mi><mo mathvariant=""normal"">∧</mo><mi mathvariant=""italic"">q</mi></math>",,,⠈⠦, @8
"logical sum (join,or)",∨,⠈⠖,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">x</mi><mo mathvariant=""normal"">&Vee;</mo><mi mathvariant=""normal"">y</mi></math>",⠘⠖,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">x</mi><mo mathvariant=""normal"">&Vee;</mo><mi mathvariant=""normal"">y</mi></math>", ⠩⠂,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">x</mi><mo mathvariant=""normal"">&Vee;</mo><mi mathvariant=""normal"">y</mi></math>",⠰⠄,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>A</mi><mo>&#x2228;</mo><mi>B</mi></math>",⠐⠩,,⠘⠢,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">∨</mo><mi mathvariant=""italic"">B</mi></math>",⠸⠔,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi><mo>&#x2228;</mo><mi>y</mi></math>",⠻⠑,,⠳⠬,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">p</mi><mo mathvariant=""normal"">∨</mo><mi mathvariant=""italic"">q</mi></math>",,,⠈⠖, @6
long arrow pointing right over short arrow pointing left,,,,⠢⠒⠑⠑,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">⥂</mo><mi mathvariant=""italic"">B</mi></math>",,,,,,,,,,,,,,,,,,
long dash,,⠐⠠⠤,,,,,,,,,,,,,,,,,,,,,
long double arrow shaft,,⠶⠶⠶,,,,,,,,,,,,,,,,,,,,,
  long single arrow shaft ,,⠒⠒⠒,,⠒⠒,,,,,,,,,,,,,,,,,,,
low line (underscore),_,⠨⠤,,,,,,,,,,,,,,⠘⠤,,,,,,,
lower integral,,,,,,⠮⠰⠒,,⠠⠤⠯⠱,,,,,,,,,,,,,,,
lower left half-bracket,,,,,,⠐⠰⠷,,,,,,,,,,,,,,,,,
lower limit,,,,⠫⠇⠊⠍⠡⠱⠻,,⠼⠇⠰⠒,,⠠⠤⠇⠊⠍⠄,,,,,,,,,,,,,,,
lower right half-bracket,,,,,,⠐⠰⠾,,,,,,,,,,,,,,,,,
lower right triangle,,,,,,,,,,,,,,,,,,,,,,⠻⠤⠃,}-b
lower-case boldface English-letter indicator,,,,⠈,,,,,,,,,,,,,,,,,,,
lower-case boldface German-letter indicator,,,,,,,,,,,,,,,,,,,,,,,
lower-case boldface Greek-letter indicator,,,,⠈⠨,,,,,,,,,,,,,,,,,,,
lower-case boldface Russian-letter indicator,,,,,,,,,,,,,,,,,,,,,,,
lower-case italic English-letter indicator,,,,,,,,,,,,,,,,,,,,,,,
lower-case italic German-letter indicator,,,,,,,,,,,,,,,,,,,,,,,
lower-case italic Greek-letter indicator,,,,,,,,,,,,,,,,,,,,,,,
lower-case italic Russian-letter indicator,,,,,,,,,,,,,,,,,,,,,,,
lower case Russian letter indicator,,,,,,,,,,,,,,,,,,,,,,,
lower-case sanserif English-letter indicator,,,,,,,,,,,,,,,,,,,,,,,
lower-case script German-letter indicator,,,,,,,,,,,,,,,,,,,,,,,
lower case  script English letter indicator,,,,,,,,,,,,,,,,,,,,,,,
lower-case script Greek-letter indicator,,,,,,,,,,,,,,,,,,,,,,,
lower-case script Hebrew-letter indicator,,,,,,,,,,,,,,,,,,,,,,,
lower-case script Russian-letter indicator,,,,,,,,,,,,,,,,,,,,,,,
lower-left enlarged half-bracket,,,,,,,,,,,,,,,,,,,,,,,
lower-right enlarged half-bracket,,,,,,,,,,,,,,,,,,,,,,,
lowercase eight,,,,⠦,,⠦,,⠦,,⠦,,,,⠦,,,,⠦,,⠦,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>5</mn><mfrac><mn>3</mn><mn>8</mn></mfrac></math>",,
lowercase five,,,,⠢,,⠢,,⠢,,⠢,,,,⠢,,,,⠢,,⠢,,,
lowercase four,,,,⠲,,⠲,,⠲,,⠲,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mroot><mi>c</mi><mn>4</mn></mroot></math>",,,⠲,,,,⠲,,⠲,,,
lowercase nine,,,,⠔,,⠔,,⠔,,⠔,,,,⠔,,,,⠔,,⠔,,,
lowercase one,,,,⠂,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mi>x</mi><mn>1</mn></msub></math>",⠂,,⠂,,⠂,,,,⠂,,,,⠂,,⠂,,,
lowercase seven,,,,⠶,,⠶,,⠶,,⠶,,,,⠶,,,,⠶,,⠶,,,
lowercase six,,,,⠖,,⠖,,⠖,,⠖,,,,⠖,,,,⠖,,⠖,,,
lowercase three,,,,⠒,,⠒,,⠒,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mstyle displaystyle=""false""><mfrac bevelled=""true""><mn>3</mn><mn>4</mn></mfrac></mstyle></math>",⠒,,,,⠒,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mstyle displaystyle=""false""><mfrac><mn>3</mn><mn>4</mn></mfrac></mstyle></math>",,,⠒,,⠒,,,
lowercase two,,,,⠆,,⠆,,⠆,,⠆,,,,⠆,,,,⠆,,⠆,,,
lowercase zero,,,,⠴,,⠴,,⠴,,⠴,,,,⠴,,,,⠴,,⠴,,,
makes nearer arrowhead point down,,,,,,,,,,,,,,,,,,,,,,,
makes nearer arrowhead point up,,,,,,,,,,,,,,,,,,,,,,,
mathampersand varies,,⠸⠐⠶,,⠒⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">∝</mo><mi mathvariant=""italic"">y</mi></math>",,,⠸⠲,,,,,,⠏,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">a</mi><mo mathvariant=""normal"">∝</mo><mi mathvariant=""italic"">b</mi></math>",,,,,,,⠸⠐⠶,"_""7"
mathematical comma ( American and Continental ),,⠲,,⠄,1.378,⠂,101.325,⠄,"1,000",⠄,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn mathvariant=""normal"">3</mn><mo mathvariant=""normal"">.</mo><mn mathvariant=""normal"">4</mn><mn mathvariant=""normal"">6</mn><mn mathvariant=""normal"">2</mn><mo mathvariant=""normal"">,</mo><mn mathvariant=""normal"">2</mn><mn mathvariant=""normal"">5</mn></math>",,,⠄,1.378,,,⠄,"10,000",⠄,"70,986,735",,
"both , and .",,⠂,,,,⠄,"2,333",,,,,,,,,,,,,,,,
maximum,,,,,,,,,,,,,,,,,,,,⠫⠍⠭,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>max</mi><msub><mi>a</mi><mi>n</mi></msub></math>",,
measured right angle with dot,,,,,,,,,,,,,,,,,,,,,,,
membership (is an element of),∈,⠘⠑,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn mathvariant=""normal"">4</mn><mo mathvariant=""normal"">&in;</mo><mi mathvariant=""normal"">A</mi></math>",⠳⠔,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">∈</mo><mi mathvariant=""italic"">A</mi></math>",⠯⠑,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">∈</mo><mi mathvariant=""italic"">A</mi></math>",⠣⠂,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">∈</mo><mi mathvariant=""italic"">A</mi></math>",⠈⠑,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">∈</mo><mi mathvariant=""italic"">A</mi></math>",⠘⠡,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">∈</mo><mi mathvariant=""italic"">A</mi></math>",⠐⠣,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">∈</mo><mi mathvariant=""italic"">A</mi></math>",⠻⠠⠞,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">∈</mo><mi mathvariant=""italic"">A</mi></math>",⠳⠔,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">∈</mo><mi mathvariant=""italic"">A</mi></math>",⠐⠪,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mn>2</mn><mo>&#x2208;</mo><mo>[</mo><mn>0</mn><mo>,</mo><mo>+</mo><mo>&#x221E;</mo><mo>)</mo></math>",⠘⠑,^e
micro sign,,,,⠨⠍,,,,,,,,⠘⠍,,,,,,,,,,⠈⠘⠍, @^m
midline horizontal ellipsis,,,,,,,,,,,,,,,,,,,,,,⠄⠄⠄, '''
minimum,,,,,,,,,,,,,,,,,,,,⠫⠍⠝,,,
minus or plus,,⠸⠤,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">x</mi><mo mathvariant=""normal"">&MinusPlus;</mo><mi mathvariant=""normal"">y</mi></math>",⠰⠤⠖,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&MinusPlus;</mo><mi mathvariant=""italic"">y</mi></math>",⠤⠖,,⠤⠒⠖,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&MinusPlus;</mo><mi mathvariant=""italic"">y</mi></math>",,,⠤⠖,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&MinusPlus;</mo><mi mathvariant=""italic"">y</mi></math>",⠤⠖,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">∓</mo><mi mathvariant=""italic"">y</mi></math>",⠨⠤⠲,,,,,,⠰⠤⠖,;-6
minus with dot over ( proper difference ),,,,,,,,⠈⠤,,,,,,,,,,,,,,,
modulo,,,,,,,,,,,,,,,,,,,,,,,
modulo two sum,,,,,,,,,,,,⠸⠯,,,,,,,,,,,
multipurpose indicator,,,,,,,,,,,,,,,,,,,,,,,
multiplication sign with dot above,,,,,,,,⠈⠦,,,,,,,,,,,,,,,
natural logarithm,,⠇⠝,,⠫⠇⠝,,⠫⠦⠇,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">ln</mi><mi mathvariant=""normal"">x</mi></math>",⠇⠝⠄,,,,⠇⠝,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">ln</mi><mi mathvariant=""normal"">x</mi></math>",⠇⠝⠄,,⠇⠝,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">ln</mi><mi mathvariant=""normal"">x</mi></math>",⠇⠝,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">ln</mi><mi mathvariant=""normal"">x</mi></math>",⠫⠇⠝,,,
n-ary product,∏,,,⠸⠏,,⠯⠏,,⠘⠏,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><munderover><mstyle displaystyle=""true"" mathvariant=""normal""><mo>&prod;</mo></mstyle><mrow><mi mathvariant=""italic"">i</mi><mi mathvariant=""normal"">=</mi><mn mathvariant=""normal"">1</mn></mrow><mrow><mi mathvariant=""italic"">n</mi></mrow></munderover></math>",⠸⠏,,,,⠰⠏,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><munderover><mo>&#x220F;</mo><mrow><mi>i</mi><mo>=</mo><mn>1</mn></mrow><mi>n</mi></munderover><msub><mi>f</mi><mi>i</mi></msub></math>",⠰⠠⠏,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><munderover><mo>&#x220F;</mo><mrow><mi>k</mi><mo>=</mo><mn>1</mn></mrow><mi>n</mi></munderover><msub><mi>x</mi><mi>k</mi></msub></math>",⠸⠏,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><munderover><mo>&#x220F;</mo><mrow><mi>i</mi><mo>=</mo><mn>0</mn></mrow><mi>r</mi></munderover><msub><mi>p</mi><mi>i</mi></msub></math>",,,⠬⠠⠏," +,p"
n-ary summation,∑,⠠⠨⠎,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><munderover><mstyle displaystyle=""true"" mathvariant=""normal""><mo>&sum;</mo></mstyle><mrow><mn mathvariant=""normal"">1</mn></mrow><mrow><mn mathvariant=""normal"">6</mn></mrow></munderover><mn mathvariant=""normal"">3</mn></math>",⠸⠎,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><munderover><mstyle displaystyle=""true"" mathvariant=""normal""><mo>&sum;</mo></mstyle><mrow><mn mathvariant=""normal"">1</mn></mrow><mrow><mi mathvariant=""italic"">N</mi></mrow></munderover><msup><mi mathvariant=""italic"">n</mi><mrow><mn mathvariant=""normal"">2</mn></mrow></msup></math>",⠯⠎,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><munderover><mstyle displaystyle=""true"" mathvariant=""normal""><mo>&sum;</mo></mstyle><mrow><mi mathvariant=""italic"">&nu;</mi><mi mathvariant=""normal"">=</mi><mn mathvariant=""normal"">1</mn></mrow><mrow><mo mathvariant=""normal"">&infin;</mo></mrow></munderover><msub><mi mathvariant=""italic"">a</mi><mrow><mi mathvariant=""italic"">&nu;</mi></mrow></msub></math>",⠘⠎,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><munderover><mstyle displaystyle=""true"" mathvariant=""normal""><mo>&sum;</mo></mstyle><mrow><mi mathvariant=""italic"">i</mi><mi mathvariant=""normal"">=</mi><mn mathvariant=""normal"">1</mn></mrow><mrow><mi mathvariant=""italic"">n</mi></mrow></munderover></math>",⠸⠎,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><munderover><mstyle displaystyle=""true"" mathvariant=""normal""><mo>&sum;</mo></mstyle><mrow><mi mathvariant=""italic"">i</mi><mi mathvariant=""normal"">=</mi><mn mathvariant=""normal"">1</mn></mrow><mrow><mi mathvariant=""italic"">i</mi><mi mathvariant=""normal"">=</mi><mn mathvariant=""normal"">6</mn></mrow></munderover></math>",⠨⠘⠎,,⠰⠎,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><munderover><mo>&#x2211;</mo><mrow><mi>i</mi><mo>=</mo><mn>1</mn></mrow><mi>n</mi></munderover><msub><mi>a</mi><mi>i</mi></msub></math>",⠰⠠⠎,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><munderover><mo>&#x2211;</mo><mrow><mi>i</mi><mo>=</mo><mn>1</mn></mrow><mi>n</mi></munderover><msub><mi>x</mi><mi>i</mi></msub></math>",⠸⠎,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><munderover><mo>&#x2211;</mo><mrow><mi>i</mi><mo>=</mo><mn>0</mn></mrow><mi>n</mi></munderover><msub><mi>f</mi><mi>i</mi></msub><msub><mi>x</mi><mi>i</mi></msub></math>",,,⠬⠠⠎," +,s"
naira sign,,⠈⠝ ,,,,,,,,,,,,,,,,,,,,⠈⠝, @n
negation sign,,⠈⠱,,⠐,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><menclose notation=""updiagonalstrike""><mi>R</mi></menclose></math>",⠔,,⠘,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo mathvariant=""normal"">≮</mo></math>",⠐⠔,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo mathvariant=""normal"">&ne;</mo></math>",,,⠘,,⠈,,⠐,,,,,
,,,,,,,,,,⠔,,,,,,,,,,,,,
neither a subset of nor equal to,,,,⠐⠳⠪⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">⊈</mo><mi mathvariant=""italic"">B</mi></math>",⠔⠣⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">⊈</mo><mi mathvariant=""italic"">B</mi></math>",⠘⠣⠆,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">⊈</mo><mi mathvariant=""italic"">B</mi></math><math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">⊈</mo><mi mathvariant=""italic"">B</mi></math>",,,⠸⠨⠌,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">⊈</mo><mi mathvariant=""italic"">B</mi></math><math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">⊈</mo><mi mathvariant=""italic"">B</mi></math>",⠘⠸⠣,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">⊈</mo><mi mathvariant=""italic"">B</mi></math><math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">⊈</mo><mi mathvariant=""italic"">B</mi></math>",⠈⠻⠠⠪⠶,,,,,,⠬⠸⠘⠣, +_^<
